utc_timestamp,DE_load_actual,DE_solar_actual,DE_wind_onshore_actual,DE_wind_offshore_actual,DE_load_forecast,DE_solar_forecast,DE_wind_onshore_forecast,DE_wind_offshore_forecast,solar_error,wind_onshore_error,wind_offshore_error,load_error
2019-10-14 12:00:00+02:00,67247.325,20914.1425,2307.89,796.105,65446.979999999996,16892.12,2797.7225,1184.68,-4022.0225000000028,489.8325,388.57500000000005,-1800.3450000000012
2019-10-14 13:00:00+02:00,66682.525,20625.7775,2411.8925,719.4375,64779.0975,17075.552499999998,2729.5175,1073.185,-3550.225000000002,317.625,353.74749999999995,-1903.4274999999907
2019-10-14 14:00:00+02:00,65112.29,18259.26,2797.745,593.6075,63713.4625,15594.2825,2850.5825,966.0350000000001,-2664.977499999999,52.83750000000009,372.4275000000001,-1398.8274999999994
2019-10-14 15:00:00+02:00,63734.0075,14584.15,3258.5825,510.3175,62721.4225,12411.5825,3432.7675,886.3025,-2172.567499999999,174.18499999999995,375.985,-1012.5849999999991
2019-10-14 16:00:00+02:00,62331.4475,9245.295,3823.2325,816.01,61366.2525,7843.2375,4388.1675,911.0625,-1402.0575,564.9349999999995,95.05250000000001,-965.1949999999997
2019-10-14 17:00:00+02:00,63210.265,3179.285,4821.585,1737.9225000000001,61105.17,2959.79,6239.9525,1219.5225,-219.4949999999999,1418.3675000000003,-518.4000000000001,-2105.095000000001
2019-10-14 18:00:00+02:00,65369.06999999999,133.0025,8593.285,3410.1349999999998,62039.375,223.4575,8950.795,1851.9650000000001,90.45500000000001,357.5100000000002,-1558.1699999999996,-3329.6949999999924
2019-10-14 19:00:00+02:00,67638.22750000001,0.35,12829.36,4709.3525,62896.7325,0.0,11577.855,2502.2975,-0.35,-1251.505000000001,-2207.055,-4741.49500000001
2019-10-14 20:00:00+02:00,63977.98,0.14500000000000002,14261.57,4912.6224999999995,60139.2975,0.0,13318.855,3127.0725,-0.14500000000000002,-942.7150000000001,-1785.5499999999993,-3838.6825000000026
2019-10-14 21:00:00+02:00,59903.2375,0.12,15276.6875,4897.3025,56719.56,0.0,14033.029999999999,3649.77,-0.12,-1243.6575000000012,-1247.5324999999998,-3183.6775000000052
2019-10-14 22:00:00+02:00,55623.0325,0.0925,15290.415,5157.655,53382.6925,0.0,14407.2825,4026.9225,-0.0925,-883.1325000000015,-1130.7324999999996,-2240.340000000004
2019-10-14 23:00:00+02:00,51414.76,0.0925,15033.3475,5243.8325,49508.035,0.0,14497.3575,4159.63,-0.0925,-535.9899999999998,-1084.2025000000003,-1906.7249999999985
2019-10-15 00:00:00+02:00,48767.505000000005,0.085,14398.2575,5026.075,46324.6425,0.0,12957.595,4162.125,-0.085,-1440.6625000000004,-863.9499999999998,-2442.862500000003
2019-10-15 01:00:00+02:00,47156.4975,0.0825,13304.825,4281.0175,44762.774999999994,0.0,12359.99,3903.4325,-0.0825,-944.835000000001,-377.58500000000004,-2393.7225000000035
2019-10-15 02:00:00+02:00,46388.2675,0.0975,12424.369999999999,4774.125,43881.055,0.0,11745.975,3825.075,-0.0975,-678.3949999999986,-949.0500000000002,-2507.2125000000015
