variable,hour,mean_error,std_error,p50,p90,p95,p99
wind_onshore,14,67.74744771573882,1607.6416826922919,0.7086640454548697,1851.1911369454551,2718.773788454546,4950.549690516368
wind_onshore,15,-11.578330466794604,1594.8882164652896,-13.657386363636563,1710.8430507818186,2546.078729072728,4595.560663370917
wind_onshore,16,-131.83391767806722,1558.6759286529668,-68.9093181818183,1615.9272500000006,2334.971238636364,3969.6974499600065
wind_onshore,17,-246.50733576488102,1561.3137403757698,-113.10999999999984,1493.5605697090919,2187.784381963637,3471.6437199272764
wind_onshore,18,-334.0274222716609,1606.2208600218198,-133.27249999999992,1418.260006218182,1982.1754559090912,3256.381075000005
wind_onshore,19,-293.5496697613349,1649.038077429922,-60.8937500000001,1464.1370117272731,2057.9524045636367,3352.7096405418224
wind_onshore,20,-264.70997606000316,1700.769544350482,-24.439545454545293,1541.6419545454553,2198.0704897090914,3583.540329545458
wind_onshore,21,-315.70115752206414,1730.4564929465691,-103.80197845454516,1555.221953872728,2159.0884833454543,3677.974776865458
wind_onshore,22,-216.74777557270073,1677.9509344271644,-77.65965909090939,1625.2724530545456,2269.699988636364,3835.37227796364
wind_onshore,23,-278.40250761164003,1685.0954391678495,-143.33948900000044,1572.7782499999996,2234.7880681818165,3812.2765944759117
