year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,wind_offshore,22,364,-268.5526304945055,467.6307991264763,398.6138942307693,538.7005794972468,-1825.0225,1094.0125,-226.78624999999994,-3.9362500000000153,234.73874999999995,463.63862499999965,805.3178250000004
2015,wind_offshore,23,363,-273.37331955922866,472.73036182996617,403.37789256198346,545.519326882663,-1791.6999999999998,1070.25,-225.1175,0.027500000000001634,228.20650000000006,446.10274999999933,899.3865499999998
2015,load,0,365,-2909.480794520547,1982.671722996161,3044.3029863013694,3519.274900744991,-11033.237500000005,2437.792500000003,-2862.9425000000047,-1673.782499999994,-460.5914999999988,188.43950000000254,2056.3704999999995
2015,load,1,365,-2847.4647534246574,1879.825462031378,2967.3873561643836,3410.5890693431106,-10587.142500000002,2547.4900000000052,-2858.7000000000044,-1751.7750000000017,-584.345500000003,235.4069999999996,1674.863400000004
2015,load,2,365,-2831.8478493150683,1925.4763197762857,2963.901890410959,3422.9612731687225,-10576.910000000003,3218.227500000001,-2813.159999999996,-1692.1200000000026,-540.5180000000012,354.98150000000356,1909.726300000001
2015,load,3,365,-2868.5406780821922,1949.2156209621394,2991.970321917808,3466.63492885342,-10587.564999999997,3492.3300000000017,-2795.590000000004,-1686.5425000000032,-439.32550000000134,234.07700000000344,1759.7753000000034
2015,load,4,365,-2932.640773972603,1960.1033592639012,3050.507280821918,3525.884434660042,-10773.1475,3099.8224999999948,-2927.9000000000015,-1633.2024999999994,-525.1904999999995,171.2579999999995,1690.8559000000023
2015,load,5,365,-2974.522445205479,2003.3497375976963,3104.842020547945,3584.7173255166817,-11333.384999999997,3677.9000000000015,-2967.1475000000064,-1794.7574999999924,-477.7744999999992,395.25250000000244,1755.8892000000014
2015,load,6,365,-3159.3589794520544,2478.7044044504523,3407.649157534246,4013.5634884762753,-12727.274999999994,8982.792499999996,-3171.347499999996,-1706.242499999993,-253.3570000000001,610.1354999999984,2672.5136000000107
2015,load,7,365,-3152.617184931507,2679.614216427403,3488.3608013698627,4135.172949246949,-14306.884999999997,9949.7875,-3214.399999999994,-1793.6200000000026,58.0240000000029,1134.7645,3453.2114000000056
2015,load,8,365,-3188.5443424657537,2749.231726844459,3521.429095890411,4207.657603557829,-14603.985,9046.145000000004,-3177.8475000000035,-1628.1475000000064,-67.32550000000298,1086.3984999999946,3674.021800000009
2015,load,9,365,-3149.3199109589045,2633.42042556629,3435.920650684931,4102.940324295231,-14415.25,7561.362500000003,-3123.4124999999985,-1564.7949999999985,-283.34499999999906,1100.5470000000003,3557.3818000000115
2015,load,10,365,-3116.144034246576,2612.800286907133,3370.4261301369866,4064.2804559157394,-14714.415000000008,7554.422500000001,-3016.9324999999953,-1626.4725000000035,-197.61149999999645,658.6194999999952,3196.579800000004
2015,load,11,365,-2907.8376712328773,2638.435545551523,3227.4856164383564,3924.0017686103333,-14419.115000000013,7703.110000000001,-2918.9100000000035,-1433.3999999999942,197.66050000000342,1132.8139999999987,3298.4347999999986
2015,load,12,365,-2778.8217397260278,2750.232250445367,3155.334616438356,3907.03276344972,-13898.112499999996,8070.184999999998,-2763.75499999999,-1130.290000000008,414.557999999997,1239.309000000004,3392.1345000000106
2015,load,13,365,-2759.296945205479,2884.1005458348723,3188.7014246575345,3988.604574370968,-13279.680000000008,8975.735,-2731.0850000000064,-943.8199999999924,582.3390000000021,1476.461500000002,3777.893700000011
2015,load,14,365,-2799.273315068493,2901.230488290027,3225.3213698630134,4028.648506091701,-13210.119999999995,9924.9225,-2685.0175000000017,-994.6024999999936,412.1505000000051,1575.7130000000086,3782.1388000000034
2015,load,15,365,-2806.505712328767,2680.2905972060557,3162.5625479452056,3878.2405705364117,-12915.8975,9634.725,-2674.702500000014,-1078.9700000000012,258.43450000000075,1445.2335000000069,3435.8165000000045
