year,variable,month,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2023,solar,3,743,-254.55594885598924,1257.5922051614377,622.3905047106325,1282.2668603899988,-7092.267500000002,4636.139999999999,-3.3175,-1.982499999999999,491.43400000000173,1371.71,3341.997600000001
2023,solar,4,720,-185.97690624999998,1378.1116900222294,709.5401701388889,1389.655163486052,-6993.095000000001,4438.7775,-3.2975,24.878125000000004,890.3505000000004,1890.867374999998,3608.4479999999976
2023,solar,5,744,-183.16248319892478,1059.0346798214127,626.8751646505375,1074.0556236309728,-3781.127500000001,3138.769999999997,-2.99125,15.783750000000005,807.9427500000012,1688.4316249999981,2818.644025
2023,solar,6,720,-52.544420138888924,888.0353383196751,495.35428124999993,888.9726604472615,-4779.005000000001,3804.455,-3.0725,114.95062499999983,805.5849999999994,1325.6298749999967,2448.5727249999973
2023,solar,7,744,47.26969086021508,906.294678296024,521.4613844086022,906.9181195605337,-3800.097499999996,3456.035,-2.63875,129.1062499999996,1175.3785000000005,1861.890624999998,2699.818175000002
2023,solar,8,744,24.917825940860297,1026.5491361669906,519.8691700268818,1026.1615978781085,-4315.647499999999,5904.32,-2.75375,140.1393750000007,886.5362500000025,1663.6600000000033,2948.2561250000094
2023,solar,9,720,154.29454513888894,739.9256151253749,380.6885243055555,755.3385465586163,-3248.2250000000004,5138.677499999998,-2.19,220.68624999999983,975.2477500000016,1448.1025000000034,2525.0562999999856
2023,solar,10,745,92.88308724832214,597.6083428080913,300.0103825503356,604.3869807250562,-2235.9349999999995,3680.369999999999,-13.5775,96.42749999999997,654.452000000001,1370.6819999999973,2192.974199999987
2023,solar,11,720,123.30161111111111,604.5257263276962,252.91145138888888,616.5606780925241,-1741.7724999999991,4551.785,-2.535,62.74749999999983,512.7425000000005,1232.8934999999965,2749.0079000000005
2023,solar,12,743,52.8987213997308,463.6615682330863,183.81890309555857,466.35928350549614,-3292.407500000001,2715.8925,-2.7475,40.10000000000001,361.2375000000002,745.2402500000006,1873.3683000000035
2023,wind_onshore,1,744,-220.2360752688173,2467.571618323667,1885.895194892473,2475.7280953294653,-5818.7225,9122.004999999996,-138.00625000000036,1107.1356250000001,2136.3274999999985,3791.9686250000036,8082.389900000004
2023,wind_onshore,2,672,-356.5833184523809,1533.76198409421,1110.3460639880952,1573.5554814447034,-6612.4375,6011.1025,-258.6312499999999,513.3918749999998,1265.037250000001,1550.0497499999979,3825.1974749999845
